CID;Descrição CID;Classificação Final (2025)
C676;Neoplasia maligna do orifício uretérico;CR Tumores Urológicos
C677;Neoplasia maligna do úraco;CR Tumores Urológicos
C678;Neoplasia maligna da bexiga com lesão invasiva;CR Tumores Urológicos
C679;Neoplasia maligna da bexiga, sem outra especificações;CR Tumores Urológicos
C68;Neoplasia maligna de outros órgãos urinários e dos não especificados;CR Tumores Urológicos
C680;Neoplasia maligna da uretra;CR Tumores Urológicos
C681;Neoplasia maligna da glândula parauretral;CR Tumores Urológicos
C688;Neoplasia maligna dos órgãos urinários com lesão invasiva;CR Tumores Urológicos
C689;Neoplasia maligna de órgão urinário, não especificado;CR Tumores Urológicos
C69;Neoplasia maligna do olho e anexos;CR Tumores da Cabeça e Pescoço
C690;Neoplasia maligna da conjuntiva;CR Tumores da Cabeça e Pescoço
C691;Neoplasia maligna da córnea;CR Tumores da Cabeça e Pescoço
C692;Neoplasia maligna da retina;CR Tumores da Cabeça e Pescoço
C693;Neoplasia maligna da coróide;CR Tumores da Cabeça e Pescoço
C694;Neoplasia maligna do corpo ciliar;CR Tumores da Cabeça e Pescoço
C695;Neoplasia maligna da glândula e canal lacrimal;CR Tumores da Cabeça e Pescoço
C696;Neoplasia maligna da órbita;CR Tumores da Cabeça e Pescoço
C698;Neoplasia maligna do olho e anexos com lesão invasiva;CR Tumores da Cabeça e Pescoço
C699;Neoplasia maligna do olho, não especificado;CR Tumores da Cabeça e Pescoço
C70;Neoplasia maligna das meninges;CR Tumores do Sistema Nervoso Central
C700;Neoplasia maligna das meninges cerebrais;CR Tumores do Sistema Nervoso Central
C701;Neoplasia maligna das meninges espinhais;CR Tumores do Sistema Nervoso Central
C709;Neoplasia maligna da meninge, não especificada;CR Tumores do Sistema Nervoso Central
C71;Neoplasia maligna do encéfalo;CR Tumores do Sistema Nervoso Central
C710;Neoplasia maligna do cérebro, exceto lobos e ventrículos;CR Tumores do Sistema Nervoso Central
C711;Neoplasia maligna do lobo frontal;CR Tumores do Sistema Nervoso Central
C712;Neoplasia maligna do lobo temporal;CR Tumores do Sistema Nervoso Central
C713;Neoplasia maligna do lobo parietal;CR Tumores do Sistema Nervoso Central
C714;Neoplasia maligna do lobo occipital;CR Tumores do Sistema Nervoso Central
C715;Neoplasia maligna do ventrículo cerebral;CR Tumores do Sistema Nervoso Central
C716;Neoplasia maligna do cerebelo;CR Tumores do Sistema Nervoso Central
C717;Neoplasia maligna do tronco cerebral;CR Tumores do Sistema Nervoso Central
C718;Neoplasia maligna do encéfalo com lesão invasiva;CR Tumores do Sistema Nervoso Central
C719;Neoplasia maligna do encéfalo, não especificado;CR Tumores do Sistema Nervoso Central
C72;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central;CR Tumores do Sistema Nervoso Central
C720;Neoplasia maligna da medula espinhal;CR Tumores do Sistema Nervoso Central
C721;Neoplasia maligna da cauda eqüina;CR Tumores do Sistema Nervoso Central
C722;Neoplasia maligna do nervo olfativo;CR Tumores do Sistema Nervoso Central
C723;Neoplasia maligna do nervo óptico;CR Tumores do Sistema Nervoso Central
C724;Neoplasia maligna do nervo acústico;CR Tumores do Sistema Nervoso Central
C725;Neoplasia maligna de outros nervos cranianos e os não especificados;CR Tumores do Sistema Nervoso Central
C728;Neoplasia maligna do encéfalo e de outras partes do sistema nervoso central com lesão invasiva;CR Tumores do Sistema Nervoso Central
C729;Neoplasia maligna do sistema nervoso central, não especificado;CR Tumores do Sistema Nervoso Central
C73;Neoplasia maligna da glândula tireóide;CR Tumores da Cabeça e Pescoço
C74;Neoplasia maligna da glândula supra-renal [Glândula adrenal];CR Tumores Urológicos
C740;Neoplasia maligna do córtex da supra-renal;CR Tumores Urológicos
C741;Neoplasia maligna da medula da supra-renal;CR Tumores Urológicos
C749;Neoplasia maligna da glândula supra-renal, não especificada;CR Tumores Urológicos
C75;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas;CR Tumores da Cabeça e Pescoço
C750;Neoplasia maligna da glândula paratireóide;CR Tumores da Cabeça e Pescoço
C751;Neoplasia maligna da glândula hipófise (pituitária);CR Tumores da Cabeça e Pescoço
C752;Neoplasia maligna do conduto craniofaríngeo;CR Tumores da Cabeça e Pescoço
C753;Neoplasia maligna da glândula pineal;CR Tumores da Cabeça e Pescoço
C754;Neoplasia maligna do corpo carotídeo;CR Tumores da Cabeça e Pescoço
C755;Neoplasia maligna do corpo aórtico e outros paragânglios;CR Tumores da Cabeça e Pescoço
C758;Neoplasia maligna com comprometimento pluriglandular, sem outra especificação;CR Tumores da Cabeça e Pescoço
C759;Neoplasia maligna de glândula endócrina, não especificada;CR Tumores da Cabeça e Pescoço
C76;Neoplasia maligna de outras localizações e de localizações mal definidas;Não Vinculado
C760;Neoplasia maligna da cabeça, face e pescoço;CR Tumores da Cabeça e Pescoço
C761;Neoplasia maligna do tórax;CR Tumores do Pulmão e Tórax
C762;Neoplasia maligna do abdome;CR Tumores do Aparelho Digestivo Alto
C763;Neoplasia maligna da pelve;Não vinculado
C764;Neoplasia maligna do membro superior;CR Sarcomas e Tumores Ósseos
C765;Neoplasia maligna do membro inferior;CR Sarcomas e Tumores Ósseos
C767;Neoplasia maligna de outras localizações mal definidas;Não vinculado
C768;Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva;Não vinculado
C77;Neoplasia maligna secundária e não especificada dos gânglios linfáticos;CR Neoplasias Hematológicas
C770;Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça, face e pescoço;CR Tumores da Cabeça e Pescoço
C771;Neoplasia maligna secundária e não especificada dos gânglios linfáticos intratorácicos;CR Neoplasias Hematológicas
C772;Neoplasia maligna secundária e não especificada dos gânglios linfáticos intra-abdominais;CR Neoplasias Hematológicas
C773;Neoplasia maligna secundária e não especificada dos gânglios linfáticos axilares e dos membros superiores;CR Neoplasias Hematológicas
C774;Neoplasia maligna secundária e não especificada dos gânglios linfáticos inguinais e dos membros inferiores;CR Neoplasias Hematológicas
C775;Neoplasia maligna secundária e não especificada dos gânglios linfáticos intrapélvicos;CR Neoplasias Hematológicas
C778;Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões;CR Neoplasias Hematológicas
C779;Neoplasia maligna secundária e não especificada de gânglio linfático, não especificado;CR Neoplasias Hematológicas
C78;Neoplasia maligna secundária dos órgãos respiratórios e digestivos;Não Vinculado
C780;Neoplasia maligna secundária dos pulmões;CR Tumores do Pulmão e Tórax
C781;Neoplasia maligna secundária do mediastino;CR Tumores do Pulmão e Tórax
C782;Neoplasia maligna secundária da pleura;CR Tumores do Pulmão e Tórax
C783;Neoplasia maligna secundária de outros órgãos respiratórios e não especificados;CR Tumores do Pulmão e Tórax
C784;Neoplasia maligna secundária do intestino delgado;CR Tumores do Pulmão e Tórax
C785;Neoplasia maligna secundária do intestino grosso e do reto;CR Tumores Colorretais
C786;Neoplasia maligna secundária do retroperitônio e do peritônio;Não vinculado
C787;Neoplasia maligna secundária do fígado;CR Tumores do Aparelho Digestivo Alto
C788;Neoplasia maligna secundária de outros órgãos digestivos e não especificados;CR Tumores do Aparelho Digestivo Alto
C79;Neoplasia maligna secundária de outras localizações;Não Vinculado
C790;Neoplasia maligna secundária do rim e da pelve renal;CR Tumores Urológicos
C791;Neoplasia maligna secundária da bexiga, de outro órgão urinário e não especificado;CR Tumores Urológicos
C792;Neoplasia maligna secundária da pele;CR Tumores Cutâneos
C793;Neoplasia maligna secundária do encéfalo e das meninges cerebrais;CR Tumores do Sistema Nervoso Central
C794;Neoplasia maligna secundária de outras partes do sistema nervoso e não especificadas;CR Tumores do Sistema Nervoso Central
C795;Neoplasia maligna secundária dos ossos e da medula óssea;CR Sarcomas e Tumores Ósseos
C796;Neoplasia maligna secundária do ovário;CR Tumores Ginecológicos
C797;Neoplasia maligna secundária das glândulas supra-renais (adrenais);CR Tumores Urológicos
C798;Neoplasia maligna secundária de outra localização especificada;Não vinculado
C80;Neoplasia maligna, sem especificação de localização;Não Vinculado
C81;Doença de Hodgkin;CR Neoplasias Hematológicas
C810;Doença de Hodgkin, predominância linfocítica;CR Neoplasias Hematológicas
C811;Doença de Hodgkin, esclerose nodular;CR Neoplasias Hematológicas
C812;Doença de Hodgkin, celularidade mista;CR Neoplasias Hematológicas
C813;Doença de Hodgkin, depleção linfocítica;CR Neoplasias Hematológicas
C817;Outra forma da doença de Hodgkin;CR Neoplasias Hematológicas
C819;Doença de Hodgkin, não especificada;CR Neoplasias Hematológicas
C82;Linfoma não-Hodgkin, folicular (nodular);CR Neoplasias Hematológicas
C820;Linfoma não-Hodgkin, pequenas células clivadas, folicular;CR Neoplasias Hematológicas
C821;Linfoma não-Hodgkin, misto, de pequenas e grandes células clivadas, folicular;CR Neoplasias Hematológicas
C822;Linfoma não-Hodgkin, grandes células, folicular;CR Neoplasias Hematológicas
C827;Outros tipos de linfoma não-Hodgkin, folicular;CR Neoplasias Hematológicas
C829;Linfoma não-Hodgkin, folicular, não especificado;CR Neoplasias Hematológicas
C83;Linfoma não-Hodgkin difuso;CR Neoplasias Hematológicas
C830;Linfoma não-Hodgkin difuso, pequenas células (difuso);CR Neoplasias Hematológicas
C831;Linfoma não-Hodgkin difuso, pequenas células clivadas (difuso);CR Neoplasias Hematológicas
C832;Linfoma não-Hodgkin difuso, misto, de pequenas e grandes células (difuso);CR Neoplasias Hematológicas
C833;Linfoma não-Hodgkin difuso, grandes células (difuso);CR Neoplasias Hematológicas
C834;Linfoma não-Hodgkin difuso, imunoblástico (difuso);CR Neoplasias Hematológicas
C835;Linfoma não-Hodgkin difuso, linfoblástico (difuso);CR Neoplasias Hematológicas
C836;Linfoma não-Hodgkin difuso, indiferenciado (difuso);CR Neoplasias Hematológicas
C837;Tumor de Burkitt;CR Neoplasias Hematológicas
C838;Outros tipos de linfoma não-Hodgkin difuso;CR Neoplasias Hematológicas
C839;Linfoma não-Hodgkin difuso, não especificado;CR Neoplasias Hematológicas
C84;Linfomas de células T cutâneas e periféricas;CR Neoplasias Hematológicas
C840;Micose fungóide;CR Tumores Cutâneos
C841;Doença de Sézary;CR Neoplasias Hematológicas
C842;Linfoma da zona T;CR Neoplasias Hematológicas
C843;Linfoma linfoepitelióide;CR Neoplasias Hematológicas
C844;Linfoma de células T, periférico;CR Neoplasias Hematológicas
C845;Outros linfomas de células T e os não especificados;CR Neoplasias Hematológicas
C85;Linfoma não-Hodgkin de outros tipos e de tipo não especificado;CR Neoplasias Hematológicas
C850;Linfossarcoma;CR Neoplasias Hematológicas
C851;Linfoma de células B, não especificado;CR Neoplasias Hematológicas
C857;Outros tipos especificados de linfoma não-Hodgkin;CR Neoplasias Hematológicas
C859;Linfoma não-Hodgkin de tipo não especificado;CR Neoplasias Hematológicas
C88;Doenças imunoproliferativas malignas;CR Neoplasias Hematológicas
C880;Macroglobulinemia de Waldenström;CR Neoplasias Hematológicas
C881;Doença de cadeia pesada alfa;CR Neoplasias Hematológicas
C882;Doença de cadeia pesada gama;CR Neoplasias Hematológicas
C883;Doença imunoproliferativa do intestino delgado;CR Neoplasias Hematológicas
C887;Outras doenças imunoproliferativas malignas;CR Neoplasias Hematológicas
C889;Doença imunoproliferativa maligna, não especificada;CR Neoplasias Hematológicas
C90;Mieloma múltiplo e neoplasias malignas de plasmócitos;CR Neoplasias Hematológicas
C900;Mieloma múltiplo;CR Neoplasias Hematológicas
C901;Leucemia plasmocitária;CR Neoplasias Hematológicas
C902;Plasmocitoma extramedular;CR Neoplasias Hematológicas
C91;Leucemia linfóide;CR Neoplasias Hematológicas
C910;Leucemia linfoblástica aguda;CR Neoplasias Hematológicas
C911;Leucemia linfocítica crônica;CR Neoplasias Hematológicas
C912;Leucemia linfocítica subaguda;CR Neoplasias Hematológicas
C913;Leucemia pró-linfocítica;CR Neoplasias Hematológicas
C914;Leucemia de células pilosas;CR Neoplasias Hematológicas
C915;Leucemia de células T do adulto;CR Neoplasias Hematológicas
C917;Outras leucemias linfóides;CR Neoplasias Hematológicas
C919;Leucemia linfóide, não especificada;CR Neoplasias Hematológicas
C92;Leucemia mielóide;CR Neoplasias Hematológicas
C920;Leucemia mielóide aguda;CR Neoplasias Hematológicas
C921;Leucemia mielóide crônica;CR Neoplasias Hematológicas
C922;Leucemia mielóide subaguda;CR Neoplasias Hematológicas
C923;Sarcoma mielóide;CR Neoplasias Hematológicas
C924;Leucemia pró-mielocítica aguda;CR Neoplasias Hematológicas
C925;Leucemia mielomonocítica aguda;CR Neoplasias Hematológicas
C927;Outras leucemias mielóides;CR Neoplasias Hematológicas
C929;Leucemia mielóide, não especificada;CR Neoplasias Hematológicas
C93;Leucemia monocítica;CR Neoplasias Hematológicas
C930;Leucemia monocítica aguda;CR Neoplasias Hematológicas
C931;Leucemia monocítica crônica;CR Neoplasias Hematológicas
C932;Leucemia monocítica subaguda;CR Neoplasias Hematológicas
C937;Outras leucemias monocíticas;CR Neoplasias Hematológicas
C939;Leucemia monocítica, não especificada;CR Neoplasias Hematológicas
C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
C940;Eritremia e eritroleucemia agudas;CR Neoplasias Hematológicas
C941;Eritremia crônica;CR Neoplasias Hematológicas
C942;Leucemia megacarioblástica aguda;CR Neoplasias Hematológicas
C943;Leucemia de mastócitos;CR Neoplasias Hematológicas
C944;Panmielose aguda;CR Neoplasias Hematológicas
C945;Mielofibrose aguda;CR Neoplasias Hematológicas
C947;Outras leucemias especificadas;CR Neoplasias Hematológicas
C95;Leucemia de tipo celular não especificado;CR Neoplasias Hematológicas
C950;Leucemia aguda de tipo celular não especificado;CR Neoplasias Hematológicas
C951;Leucemia crônica de tipo celular não especificado;CR Neoplasias Hematológicas
C952;Leucemia subaguda de tipo celular não especificado;CR Neoplasias Hematológicas
C957;Outras leucemias de tipo celular não especificado;CR Neoplasias Hematológicas
C959;Leucemia não especificada;CR Neoplasias Hematológicas
C96;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;CR Neoplasias Hematológicas
C960;Doença de Letterer-Siwe;CR Neoplasias Hematológicas
C961;Histiocitose maligna;CR Neoplasias Hematológicas
C962;Tumor maligno de mastócitos;CR Neoplasias Hematológicas
C963;Linfoma histiocítico verdadeiro;CR Neoplasias Hematológicas
C967;Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos;CR Neoplasias Hematológicas
C969;Neoplasia maligna dos tecidos linfático, hematopoético e tecidos correlatos, não especificada;CR Neoplasias Hematológicas
C97;Neoplasias malignas de localizações múltiplas independentes (primárias);Não vinculado
D00;Carcinoma in situ da cavidade oral, do esôfago e do estômago;Não vinculado
D000;Carcinoma in situ dos lábios, cavidade oral e faringe;CR Tumores da Cabeça e Pescoço
D001;Carcinoma in situ do esôfago;CR Tumores do Aparelho Digestivo Alto
D002;Carcinoma in situ do estômago;CR Tumores do Aparelho Digestivo Alto
D01;Carcinoma in situ de outros órgãos digestivos;CR Tumores Colorretais
D010;Carcinoma in situ do cólon;CR Tumores Colorretais
D011;Carcinoma in situ da junção retossigmóide;CR Tumores Colorretais
D012;Carcinoma in situ do reto;CR Tumores Colorretais
D013;Carcinoma in situ do ânus e canal anal;CR Tumores Colorretais
D014;Carcinoma in situ de outras partes do intestino e as não especificadas;CR Tumores Colorretais
D015;Carcinoma in situ do fígado, vesícula biliar e vias biliares;CR Tumores do Aparelho Digestivo Alto
D017;Carcinoma in situ de outros órgãos especificados do aparelho digestivo;CR Tumores do Aparelho Digestivo Alto
D019;Carcinoma in situ de órgãos digestivos, não especificado;CR Tumores do Aparelho Digestivo Alto
D02;Carcinoma in situ do ouvido médio e do aparelho respiratório;Não vinculado
D020;Carcinoma in situ da laringe;CR Tumores da Cabeça e Pescoço
D021;Carcinoma in situ da traquéia;CR Tumores do Pulmão e Tórax
D022;Carcinoma in situ dos brônquios e pulmões;CR Tumores do Pulmão e Tórax
D023;Carcinoma in situ de outras partes do aparelho respiratório;CR Tumores do Pulmão e Tórax
D029;Carcinoma in situ do aparelho respiratório, não especificado;CR Tumores do Pulmão e Tórax
D03;Melanoma in situ;CR Tumores Cutâneos
D030;Melanoma in situ do lábio;CR Tumores Cutâneos
D031;Melanoma in situ da pálpebra, incluindo o canto;CR Tumores Cutâneos
D032;Melanoma in situ da orelha e do conduto auditivo externo;CR Tumores Cutâneos
D033;Melanoma in situ de outras partes, e de partes não especificadas da face;CR Tumores Cutâneos
D034;Melanoma in situ do couro cabeludo e do pescoço;CR Tumores Cutâneos
D035;Melanoma in situ do tronco;CR Tumores Cutâneos
D036;Melanoma in situ dos membros superiores, incluindo ombro;CR Tumores Cutâneos
D037;Melanoma in situ dos membros inferiores, incluindo quadril;CR Tumores Cutâneos
D038;Melanoma in situ de outras localizações;CR Tumores Cutâneos
D039;Melanoma in situ, não especificado;CR Tumores Cutâneos
D04;Carcinoma in situ da pele;CR Tumores Cutâneos
D040;Carcinoma in situ da pele do lábio;CR Tumores Cutâneos
D041;Carcinoma in situ da pele da pálpebra, incluindo o canto;CR Tumores Cutâneos
D042;Carcinoma in situ da pele da orelha e do conduto auditivo externo;CR Tumores Cutâneos
D043;Carcinoma in situ da pele de outras partes e de partes não especificadas da face;CR Tumores Cutâneos
D044;Carcinoma in situ da pele do couro cabeludo e do pescoço;CR Tumores Cutâneos
D045;Carcinoma in situ da pele do tronco;CR Tumores Cutâneos
D046;Carcinoma in situ da pele dos membros superiores, incluindo ombro;CR Tumores Cutâneos
D047;Carcinoma in situ da pele dos membros inferiores, incluindo quadril;CR Tumores Cutâneos
D048;Carcinoma in situ da pele de outras localizações;CR Tumores Cutâneos
D049;Carcinoma in situ da pele, não especificada;CR Tumores Cutâneos
D05;Carcinoma in situ da mama;CR Tumores da Mama
D050;Carcinoma lobular in situ;CR Tumores da Mama
D051;Carcinoma intraductal in situ;CR Tumores da Mama
D057;Outros carcinomas in situ;CR Tumores da Mama
D059;Carcinoma in situ da mama, não especificado;CR Tumores da Mama
D06;Carcinoma in situ do colo do útero (cérvix);CR Tumores Ginecológicos
D060;Carcinoma in situ do endocérvix;CR Tumores Ginecológicos
D061;Carcinoma in situ do exocérvix;CR Tumores Ginecológicos
D067;Carcinoma in situ de outras partes do colo do útero;CR Tumores Ginecológicos
D069;Carcinoma in situ do colo do útero, não especificado;CR Tumores Ginecológicos
D07;Carcinoma in situ de outros órgãos genitais e dos não especificados;Não vinculado
D070;Carcinoma in situ do endométrio;CR Tumores Ginecológicos
D071;Carcinoma in situ da vulva;CR Tumores Ginecológicos
D072;Carcinoma in situ da vagina;CR Tumores Ginecológicos
D073;Carcinoma in situ de outros órgãos genitais femininos e os não especificados;CR Tumores Ginecológicos
D074;Carcinoma in situ do pênis;CR Tumores Urológicos
D075;Carcinoma in situ da próstata;CR Tumores Urológicos
D076;Carcinoma in situ de outros órgãos genitais masculinos e os não especificados;CR Tumores Urológicos
D09;Carcinoma in situ de outras localizações e das não especificadas;Não vinculado
D090;Carcinoma in situ da bexiga;CR Tumores Urológicos
D091;Carcinoma in situ de outros órgãos urinários e os não especificados;CR Tumores Urológicos
D092;Carcinoma in situ do olho;CR Tumores da Cabeça e Pescoço
D093;Carcinoma in situ da tireóide e de outras glândulas endócrinas;CR Tumores da Cabeça e Pescoço
D097;Carcinoma in situ de outras localizações especificadas;Não vinculado
D099;Carcinoma in situ, não especificado;Não vinculado
D10;Neoplasia benigna da boca e da faringe;CR Tumores da Cabeça e Pescoço
D100;Neoplasia benigna dos lábios;CR Tumores da Cabeça e Pescoço
D101;Neoplasia benigna da língua;CR Tumores da Cabeça e Pescoço
D102;Neoplasia benigna do assoalho da boca;CR Tumores da Cabeça e Pescoço
D103;Neoplasia benigna de outras partes da boca e as não especificadas;CR Tumores da Cabeça e Pescoço
D104;Neoplasia benigna da amígdala;CR Tumores da Cabeça e Pescoço
D105;Neoplasia benigna de outras partes da orofaringe;CR Tumores da Cabeça e Pescoço
D106;Neoplasia benigna da nasofaringe;CR Tumores da Cabeça e Pescoço
D107;Neoplasia benigna da hipofaringe;CR Tumores da Cabeça e Pescoço
D109;Neoplasia benigna da faringe, não especificada;CR Tumores da Cabeça e Pescoço
D11;Neoplasia benigna de glândulas salivares maiores;CR Tumores da Cabeça e Pescoço
D110;Neoplasia benigna da glândula parótida;CR Tumores da Cabeça e Pescoço
D117;Neoplasia benigna de outras glândulas salivares maiores;CR Tumores da Cabeça e Pescoço
D119;Neoplasia benigna da glândula salivar maior, não especificada;CR Tumores da Cabeça e Pescoço
D12;Neoplasia benigna do cólon, reto, canal anal e ânus;CR Tumores Colorretais
D120;Neoplasia benigna do ceco;CR Tumores Colorretais
D121;Neoplasia benigna do apêndice (vermiforme);CR Tumores Colorretais
D122;Neoplasia benigna do cólon ascendente;CR Tumores Colorretais
D123;Neoplasia benigna do cólon transverso;CR Tumores Colorretais
D124;Neoplasia benigna do cólon descendente;CR Tumores Colorretais
D125;Neoplasia benigna do cólon sigmóide;CR Tumores Colorretais
D126;Neoplasia benigna do cólon, não especificada;CR Tumores Colorretais
D127;Neoplasia benigna da junção retossigmóide;CR Tumores Colorretais
D128;Neoplasia benigna do reto;CR Tumores Colorretais
D129;Neoplasia benigna do canal anal e ânus;CR Tumores Colorretais
D13;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo;CR Tumores do Aparelho Digestivo Alto
D130;Neoplasia benigna do esôfago;CR Tumores do Aparelho Digestivo Alto
D131;Neoplasia benigna do estômago;CR Tumores do Aparelho Digestivo Alto
D132;Neoplasia benigna do duodeno;CR Tumores do Aparelho Digestivo Alto
D133;Neoplasia benigna de outras partes e partes não especificadas do intestino delgado;CR Tumores do Aparelho Digestivo Alto
D134;Neoplasia benigna do fígado;CR Tumores do Aparelho Digestivo Alto
D135;Neoplasia benigna das vias biliares extra-hepáticas;CR Tumores do Aparelho Digestivo Alto
D136;Neoplasia benigna do pâncreas;CR Tumores do Aparelho Digestivo Alto
D137;Neoplasia benigna do pâncreas endócrino;CR Tumores do Aparelho Digestivo Alto
D139;Neoplasia benigna de localizações mal definidas do aparelho digestivo;CR Tumores do Aparelho Digestivo Alto
D14;Neoplasia benigna do ouvido médio e do aparelho respiratório ;Não vinculado
D140;Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais;CR Tumores da Cabeça e Pescoço
D141;Neoplasia benigna da laringe;CR Tumores da Cabeça e Pescoço
D142;Neoplasia benigna da traquéia;CR Tumores do Pulmão e Tórax
D143;Neoplasia benigna dos brônquios e pulmão;CR Tumores do Pulmão e Tórax
D144;Neoplasia benigna do aparelho respiratório, não especificado;CR Tumores do Pulmão e Tórax
D15;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados;CR Tumores do Pulmão e Tórax
D150;Neoplasia benigna do timo;CR Tumores do Pulmão e Tórax
D151;Neoplasia benigna do coração;CR Tumores do Pulmão e Tórax
D152;Neoplasia benigna do mediastino;CR Tumores do Pulmão e Tórax
D157;Neoplasia benigna de outros órgãos intratorácicos especificados;CR Tumores do Pulmão e Tórax
D159;Neoplasia benigna de órgão intratorácico, não especificado;CR Tumores do Pulmão e Tórax
D16;Neoplasia benigna de osso e de cartilagem articular;CR Sarcomas e Tumores Ósseos
D160;Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores;CR Sarcomas e Tumores Ósseos
D161;Neoplasia benigna dos ossos curtos dos membros superiores;CR Sarcomas e Tumores Ósseos
D162;Neoplasia benigna dos ossos longos dos membros inferiores;CR Sarcomas e Tumores Ósseos
D163;Neoplasia benigna dos ossos curtos dos membros inferiores;CR Sarcomas e Tumores Ósseos
D164;Neoplasia benigna do osso do crânio e da face;CR Sarcomas e Tumores Ósseos
D165;Neoplasia benigna da mandíbula;CR Sarcomas e Tumores Ósseos
D166;Neoplasia benigna da coluna vertebral ;CR Sarcomas e Tumores Ósseos
D167;Neoplasia benigna das costelas, do esterno e da clavícula;CR Sarcomas e Tumores Ósseos
D168;Neoplasia benigna dos ossos pélvicos, sacro e cóccix;CR Sarcomas e Tumores Ósseos
D169;Neoplasia benigna do osso e cartilagem articular, não especificado;CR Sarcomas e Tumores Ósseos
D17;Lipoma;CR Tumores Cutâneos
D170;Lipoma da pele e do tecido subcutâneo da cabeça, face e pescoço;CR Tumores da Cabeça e Pescoço
D171;Neoplasia lipomatosa benigna da pele e do tecido subcutâneo do tronco;CR Tumores Cutâneos
D172;Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros;CR Tumores Cutâneos
D173;Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas;CR Tumores Cutâneos
D174;Neoplasia lipomatosa benigna de órgãos intratorácicos;CR Tumores do Pulmão e Tórax
D175;Neoplasia lipomatosa benigna de órgãos intra-abdominais;CR Tumores do Aparelho Digestivo Alto
D176;Neoplasia lipomatosa benigna do cordão espermático;CR Tumores Urológicos
D177;Neoplasia lipomatosa benigna em outras localizações;CR Tumores Cutâneos
D179;Neoplasia lipomatosa benigna de localização não especificada;CR Tumores Cutâneos
D18;Hemangioma e linfangioma de qualquer localização;CR Tumores Pediátricos
D180;Hemangioma de qualquer localização;CR Tumores Pediátricos
D181;Linfangioma de qualquer localização;CR Tumores Pediátricos
D19;Neoplasia benigna de tecido mesotelial;Não vinculado
D190;Neoplasia benigna do tecido mesotelial da pleura;CR Tumores do Pulmão e Tórax
D191;Neoplasia benigna do tecido mesotelial do peritônio;CR Tumores do Aparelho Digestivo Alto
D197;Neoplasia benigna do tecido mesotelial de outras localizações;Não vinculado
D199;Neoplasia benigna do tecido mesotelial, não especificado;Não Vinculado
D20;Neoplasia benigna de tecido mole do retroperitônio e do peritônio;Não vinculado
D200;Neoplasia benigna do retroperitônio;Não vinculado
D201;Neoplasia benigna do peritônio;CR Tumores do Aparelho Digestivo Alto
D21;Outras neoplasias benignas do tecido conjuntivo e outros tecidos moles;CR Sarcomas e Tumores Ósseos
D210;Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço;CR Sarcomas e Tumores Ósseos
D211;Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro;CR Sarcomas e Tumores Ósseos
D212;Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril;CR Sarcomas e Tumores Ósseos
D213;Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax;CR Sarcomas e Tumores Ósseos
D214;Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome;CR Sarcomas e Tumores Ósseos
D215;Neoplasia benigna do tecido conjuntivo e de outros tecidos moles da pelve;CR Sarcomas e Tumores Ósseos
D216;Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado;CR Sarcomas e Tumores Ósseos
D219;Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação;CR Sarcomas e Tumores Ósseos
D22;Nevos melanocíticos;CR Tumores Cutâneos
D220;Nevo melanocítico do lábio;CR Tumores Cutâneos
D221;Nevo melanocítico da pálpebra, incluindo o canto;CR Tumores Cutâneos
D222;Nevo melanocítico da orelha e do conduto auditivo externo;CR Tumores Cutâneos
D223;Nevo melanocítico de outras partes e de partes não especificadas da face;CR Tumores Cutâneos
D224;Nevo melanocítico do couro cabeludo e do pescoço;CR Tumores Cutâneos
D225;Nevo melanocítico do tronco;CR Tumores Cutâneos
D226;Nevo melanocítico dos membros superiores, incluindo ombro;CR Tumores Cutâneos
D227;Nevo melanocítico dos membros inferiores, incluindo quadril;CR Tumores Cutâneos
D229;Nevo melanocítico, não especificado;CR Tumores Cutâneos
D23;Outras neoplasias malignas de pele;CR Tumores Cutâneos
D230;Neoplasia benigna da pele dos lábios;CR Tumores Cutâneos
