SNOMED;Diagnóstico;Topografia;CID
M-82110;Adenoma Tubular;Pólipo de cólon transverso;D12
M-82110;Adenoma Tubular;Pólipo de cólon transverso;D123
M-40000;Gastrite;Biopsia gástrica;
M-82110;Adenoma Tubular;Cólon transverso;D12
M-82110;Adenoma Tubular;Cólon descendente;D12
M-82110;Adenoma Tubular;Canal anal;D12
M-82110;Adenoma Tubular;Canal anal;D129
M-43000;Gastrite Crônica Antral Leve;Cólon ascendente;
M-43000;Gastrite Crônica Antral Leve;Estômago;
M-43000;Gastrite Crônica Antral Leve;Cólon descendente;
M-43000;Gastrite Crônica Antral Leve;Canal anal;
M-72040;Pólipo Hiperplásico;Cólon ascendente;D12
M-72040;Pólipo Hiperplásico;Estômago;D002
M-72040;Pólipo Hiperplásico;Estômago;D009
M-72040;Pólipo Hiperplásico;Cólon descendente;D12
M-72040;Pólipo Hiperplásico;Cólon descendente;D129
M-72040;Pólipo Hiperplásico;Canal anal;D12
M-72040;Pólipo Hiperplásico;Canal anal;D129
M-82630;ADENOMA TÚBULO-VILOSO;Cólon transverso;D12
M-82630;ADENOMA TÚBULO-VILOSO;Cólon descendente;D12
M-40000;Inflamação;Pólipo de cólon transverso;
M-40000;Inflamação;Pólipo de cólon descendente;
